case_id,split,target,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
training_prior__pilot_power_residual__prior_d_optimal__k64,validation,CO,1343.5022176147295,0.44783407253824314,-0.010409054777524851,-134.7576302063872
training_prior__pilot_power_residual__prior_d_optimal__k64,validation,O3,49.97947334808692,0.27015931539506444,-0.11421093663753545,16.001694626899756
training_prior__pilot_power_residual__prior_d_optimal__k64,validation,SO2,15.967352596582991,0.23831869547138793,-0.13131288181323786,5.428245380331246
training_prior__pilot_power_residual__prior_d_optimal__k64,validation,NO2,36.07907002040108,0.3371875702841223,-5.6063545959661454e-05,-0.05457847117401272
training_prior__pilot_power_residual__prior_d_optimal__k64,validation,PM2.5,92.61827943232394,0.42281798416947847,-0.0017544656140868753,-3.429836854050145
training_prior__pilot_power_residual__prior_d_optimal__k64,validation,PM10,99.66701826767249,0.3775265843472443,-0.004472238411031615,6.498343591378017
training_prior__pilot_power_residual__prior_d_optimal__k64,validation,macro,,0.34897403703425683,-0.04370260679989605,
training_prior__pilot_power_residual__bayesian_a_optimal__k64,validation,CO,1343.452687266145,0.44781756242204834,-0.010334555473349605,-134.74864310306862
training_prior__pilot_power_residual__bayesian_a_optimal__k64,validation,O3,49.9791320950929,0.2701574707842859,-0.11419572133034817,15.99928415066718
training_prior__pilot_power_residual__bayesian_a_optimal__k64,validation,SO2,15.967298277497926,0.23831788473877502,-0.13130518463541652,5.427499233039429
training_prior__pilot_power_residual__bayesian_a_optimal__k64,validation,NO2,36.07812204089575,0.3371787106625771,-3.511182659954315e-06,-0.05423081797523404
training_prior__pilot_power_residual__bayesian_a_optimal__k64,validation,PM2.5,92.62180398880015,0.42283407436110687,-0.0018307099017491613,-3.4299140174467375
training_prior__pilot_power_residual__bayesian_a_optimal__k64,validation,PM10,99.67048544846402,0.37753971760781824,-0.0045421260727358526,6.498010675153991
training_prior__pilot_power_residual__bayesian_a_optimal__k64,validation,macro,,0.34897423676276856,-0.04370196809937654,
training_prior__pilot_power_residual__target_balanced__k64,validation,CO,1343.5675550858427,0.4478558516952809,-0.01050733400156112,-134.69077190724929
training_prior__pilot_power_residual__target_balanced__k64,validation,O3,49.979613213172485,0.270160071422554,-0.11421717277471766,15.999986426993257
training_prior__pilot_power_residual__target_balanced__k64,validation,SO2,15.97009285795778,0.23835959489489225,-0.13170121907674548,5.4298499526979755
training_prior__pilot_power_residual__target_balanced__k64,validation,NO2,36.079884493413594,0.33719518218143546,-0.00010121592200751373,-0.052654336538593464
training_prior__pilot_power_residual__target_balanced__k64,validation,PM2.5,92.6275545766321,0.4228603267593353,-0.0019551146117939844,-3.426105574934633
training_prior__pilot_power_residual__target_balanced__k64,validation,PM10,99.67679165714657,0.3775636047619188,-0.00466924600505636,6.502459535378933
training_prior__pilot_power_residual__target_balanced__k64,validation,macro,,0.3489991052859028,-0.04385855039864702,
training_prior__pilot_power_residual__uniform__k128,validation,CO,1343.5240590155786,0.44784135300519284,-0.010441907612874113,-134.75432293781495
training_prior__pilot_power_residual__uniform__k128,validation,O3,49.977374050789244,0.27014796784210404,-0.11411733777673749,16.002445568798137
training_prior__pilot_power_residual__uniform__k128,validation,SO2,15.970609093886997,0.23836729990876115,-0.13177438512257944,5.4292344107528825
training_prior__pilot_power_residual__uniform__k128,validation,NO2,36.07728701846639,0.3371709067146392,4.2778127912646013e-05,-0.05412071459633874
training_prior__pilot_power_residual__uniform__k128,validation,PM2.5,92.60700338428704,0.42276650711840835,-0.0015105581710896931,-3.429059132638629
training_prior__pilot_power_residual__uniform__k128,validation,PM10,99.66480737837018,0.3775182097665537,-0.004427674977039109,6.499539197054983
training_prior__pilot_power_residual__uniform__k128,validation,macro,,0.3489687073926098,-0.04370484758873453,
training_prior__pilot_power_residual__physics_d_optimal__k128,validation,CO,1343.5252931676598,0.4478417643892199,-0.010443763983882137,-134.69953913455544
training_prior__pilot_power_residual__physics_d_optimal__k128,validation,O3,49.979731329584894,0.2701607098896481,-0.11422243922166042,16.003035361772923
training_prior__pilot_power_residual__physics_d_optimal__k128,validation,SO2,15.972883124940932,0.23840124067076018,-0.1320967113800966,5.429946375493838
training_prior__pilot_power_residual__physics_d_optimal__k128,validation,NO2,36.08031084778794,0.3371991668017565,-0.00012485236394965682,-0.05327585608926633
training_prior__pilot_power_residual__physics_d_optimal__k128,validation,PM2.5,92.62603152358871,0.42285337376666976,-0.001922165059200509,-3.4260558224213584
training_prior__pilot_power_residual__physics_d_optimal__k128,validation,PM10,99.67648208704797,0.37756243214790897,-0.004663005533841469,6.50265378179084
training_prior__pilot_power_residual__physics_d_optimal__k128,validation,macro,,0.3490031146109939,-0.04391215625710513,
training_prior__pilot_power_residual__prior_d_optimal__k128,validation,CO,1343.5200941400055,0.44784003138000184,-0.01043594378885615,-134.624396376101
training_prior__pilot_power_residual__prior_d_optimal__k128,validation,O3,49.97948275070707,0.2701593662200382,-0.11421135586977171,16.00277821723004
training_prior__pilot_power_residual__prior_d_optimal__k128,validation,SO2,15.97329885739218,0.2384074456327191,-0.1321556431912263,5.432634491646865
training_prior__pilot_power_residual__prior_d_optimal__k128,validation,NO2,36.080452387317905,0.33720048960110194,-0.0001326991632615293,-0.05118854789293778
training_prior__pilot_power_residual__prior_d_optimal__k128,validation,PM2.5,92.62509073636707,0.4228490789151672,-0.0019018124484371235,-3.4214229158001577
training_prior__pilot_power_residual__prior_d_optimal__k128,validation,PM10,99.67587699937025,0.3775601401491297,-0.004650807925197231,6.50796453592065
training_prior__pilot_power_residual__prior_d_optimal__k128,validation,macro,,0.34900275864969293,-0.04391471039779168,
training_prior__pilot_power_residual__bayesian_a_optimal__k128,validation,CO,1343.5783964953791,0.44785946549845973,-0.010523641879800483,-134.75769507271977
training_prior__pilot_power_residual__bayesian_a_optimal__k128,validation,O3,49.9797383637347,0.27016074791207945,-0.11422275285312256,16.003179589012717
training_prior__pilot_power_residual__bayesian_a_optimal__k128,validation,SO2,15.9727335264855,0.23839900785799253,-0.13207550554956438,5.42802874511965
training_prior__pilot_power_residual__bayesian_a_optimal__k128,validation,NO2,36.08155251281237,0.3372107711477792,-0.00019368998690882933,-0.05478176596524303
training_prior__pilot_power_residual__bayesian_a_optimal__k128,validation,PM2.5,92.62902569274351,0.42286704265119296,-0.0019869410812236588,-3.429576951799979
training_prior__pilot_power_residual__bayesian_a_optimal__k128,validation,PM10,99.6804649857063,0.3775775188852511,-0.0047432963065277,6.498662150668138
training_prior__pilot_power_residual__bayesian_a_optimal__k128,validation,macro,,0.3490124256587925,-0.04395763794285793,
training_prior__pilot_power_residual__target_balanced__k128,validation,CO,1343.548496356544,0.4478494987855147,-0.010478665775591534,-134.74430510101038
training_prior__pilot_power_residual__target_balanced__k128,validation,O3,49.97944958191856,0.27015918692928953,-0.1142098769817752,16.003012428360332
training_prior__pilot_power_residual__target_balanced__k128,validation,SO2,15.970778601694299,0.2383698298760343,-0.13179840995611558,5.428500966375654
training_prior__pilot_power_residual__target_balanced__k128,validation,NO2,36.08127363859581,0.3372081648466898,-0.0001782290582981183,-0.0544098562787741
training_prior__pilot_power_residual__target_balanced__k128,validation,PM2.5,92.62610406634167,0.42285370493650754,-0.0019237344284017688,-3.428785746859599
training_prior__pilot_power_residual__target_balanced__k128,validation,PM10,99.67734528161537,0.37756570182430066,-0.004680406296495132,6.4995596226936305
training_prior__pilot_power_residual__target_balanced__k128,validation,macro,,0.34900101453305615,-0.04387822041611289,
training_prior__pilot_power_residual__uniform__k256,validation,CO,1343.5552056641143,0.44785173522137145,-0.01048875789970638,-134.710587445327
training_prior__pilot_power_residual__uniform__k256,validation,O3,49.979882300092704,0.27016152594644705,-0.11422917054962256,16.00338182748664
training_prior__pilot_power_residual__uniform__k256,validation,SO2,15.97309483547802,0.2384044005295227,-0.1321267220412039,5.429778792252926
training_prior__pilot_power_residual__uniform__k256,validation,NO2,36.08100891691171,0.337205690812259,-0.00016355286385039136,-0.053550841010547925
training_prior__pilot_power_residual__uniform__k256,validation,PM2.5,92.62720825710879,0.42285874575260946,-0.0019476223278711569,-3.426581500398517
training_prior__pilot_power_residual__uniform__k256,validation,PM10,99.67904270493874,0.37757213145810126,-0.0047146243521600795,6.502131545719188
training_prior__pilot_power_residual__uniform__k256,validation,macro,,0.3490090382867184,-0.043945075005735745,
training_prior__pilot_power_residual__bayesian_a_optimal_power_unbounded__k32,validation,CO,1343.5325304352655,0.44784417681175515,-0.010454650078329575,-134.74166346028238
training_prior__pilot_power_residual__bayesian_a_optimal_power_unbounded__k32,validation,O3,49.979142370913486,0.2701575263292621,-0.11419617949262606,15.999544321739645
training_prior__pilot_power_residual__bayesian_a_optimal_power_unbounded__k32,validation,SO2,15.967911433000785,0.23832703631344454,-0.1313920721358499,5.428490649322438
training_prior__pilot_power_residual__bayesian_a_optimal_power_unbounded__k32,validation,NO2,36.07848256711726,0.33718208006651645,-2.3497216763201934e-05,-0.05389879185100551
training_prior__pilot_power_residual__bayesian_a_optimal_power_unbounded__k32,validation,PM2.5,92.6168432185124,0.42281142761247525,-0.0017233978280510875,-3.4292630491880334
training_prior__pilot_power_residual__bayesian_a_optimal_power_unbounded__k32,validation,PM10,99.66308590460268,0.3775116890325859,-0.004392977052941616,6.498906309270909
training_prior__pilot_power_residual__bayesian_a_optimal_power_unbounded__k32,validation,macro,,0.3489723226943399,-0.04369712896742691,
training_prior__pilot_power_residual__bayesian_a_optimal_power_bounded_4x__k32,validation,CO,1343.5325304352655,0.44784417681175515,-0.010454650078329575,-134.74166346028238
training_prior__pilot_power_residual__bayesian_a_optimal_power_bounded_4x__k32,validation,O3,49.979142370913486,0.2701575263292621,-0.11419617949262606,15.999544321739645
