model,split,model_role,uses_current_other_station_targets,uses_query_current_targets,uses_query_pollutant_lags,target,mae_ug_m3,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
spatial_causal_pls,validation,spatial and causal latent regression,True,False,True,SO2,4.301696924758982,6.648065534868471,0.09922485872938017,0.8038865025251754,0.46523299000371154
spatial_causal_pls,validation,spatial and causal latent regression,True,False,True,NO2,9.737714626816912,13.67607000728719,0.1278137383858616,0.8563067694573485,-0.8122527650837881
spatial_causal_pls,validation,spatial and causal latent regression,True,False,True,PM2.5,15.973468985809626,27.079272634235053,0.12362142266256627,0.9143668619989321,-0.9031153729242614
spatial_causal_pls,validation,spatial and causal latent regression,True,False,True,PM10,21.040113774526887,32.0162955851562,0.12127384691347046,0.8963481235826157,2.8878250958378917
spatial_causal_pls,test,spatial and causal latent regression,True,False,True,CO,273.24096677259985,474.0502850936764,0.15801676169789214,0.8745831243442357,1.1240352639810676
spatial_causal_pls,test,spatial and causal latent regression,True,False,True,O3,12.028283105121718,17.30751912131361,0.093554157412506,0.9056222913462919,-0.4580310722013569
spatial_causal_pls,test,spatial and causal latent regression,True,False,True,SO2,4.0362947812755445,6.958539667159119,0.1038588010023749,0.7210469839522506,0.3149876410879228
spatial_causal_pls,test,spatial and causal latent regression,True,False,True,NO2,9.272574683149648,13.283058758369839,0.1241407360595312,0.8639506495448439,-0.40443426683815586
spatial_causal_pls,test,spatial and causal latent regression,True,False,True,PM2.5,16.103279952139342,26.283418528221315,0.1199882151482374,0.9060113798798217,-0.6498696466300887
spatial_causal_pls,test,spatial and causal latent regression,True,False,True,PM10,20.799515807317327,32.29137508546413,0.12231581471766717,0.884235130241398,1.5544446512644865
station_target_delta_ridge,validation,station and target specific spatial change regression,True,False,True,CO,166.470583887217,308.7746216810714,0.10292487389369046,0.9466292076062528,9.241122421211266
station_target_delta_ridge,validation,station and target specific spatial change regression,True,False,True,O3,5.581958232147986,8.626814180872532,0.04663142800471639,0.9668040613623147,0.10196834820760302
station_target_delta_ridge,validation,station and target specific spatial change regression,True,False,True,SO2,2.06265050684133,3.7830938186365515,0.056464086845321663,0.9364945314859416,0.004129741143276453
station_target_delta_ridge,validation,station and target specific spatial change regression,True,False,True,NO2,5.759173935192981,8.837314170181445,0.08259172121664902,0.9399995831695462,-0.231069003992063
station_target_delta_ridge,validation,station and target specific spatial change regression,True,False,True,PM2.5,9.1634087764824,16.334050570565402,0.07456768121691604,0.9688429980789061,0.27149160260641336
station_target_delta_ridge,validation,station and target specific spatial change regression,True,False,True,PM10,13.820105684639891,22.940170054018644,0.0868945835379494,0.9467857099090543,0.23077890111617447
