scenario,method,tone_count,target,detection_floor_1sigma_ug_m3,detection_floor_3sigma_ug_m3,detection_floor_1sigma_ppm,floor_to_guideline_ratio,floor_3sigma_to_guideline_ratio,who_2021_guideline_ug_m3,who_averaging_period,identifiable,target_rank,target_condition_number,median_snr_db,q05_snr_db,q95_snr_db,frequency_min_ghz,frequency_max_ghz,selected_index_count,power_optimization_success,uniform_floor_ratio,gain_over_uniform,equal_d_optimal_floor_ratio,gain_over_equal_d_optimal
reference_zero_residual,uniform_equal,64,O3,42711.864669779345,128135.59400933803,21.0619976531626,427.11864669779345,1281.3559400933802,100.0,8 h,True,4,644.6779232304115,20.839968970258468,-57.58130152580275,26.639033501427797,60.0,400.0,64,,427.11864669779345,1.0,258.11755543522946,0.6043228443216617
reference_zero_residual,uniform_equal,64,SO2,5923.686521668184,17771.05956500455,2.1914164855159246,148.0921630417046,444.27648912511376,40.0,24 h,True,4,644.6779232304115,20.839968970258468,-57.58130152580275,26.639033501427797,60.0,400.0,64,,148.0921630417046,1.0,80.08867197996796,0.5408029049951414
reference_zero_residual,uniform_equal,64,NO2,96204.20949139433,288612.628474183,49.49455944696441,3848.168379655773,11544.505138967319,25.0,24 h,True,4,644.6779232304115,20.839968970258468,-57.58130152580275,26.639033501427797,60.0,400.0,64,,3848.168379655773,1.0,2145.5548403037747,0.557552224493799
reference_zero_residual,d_optimal_equal,64,CO,50368.33481534881,151105.00444604643,42.57284361967591,12.592083703837202,37.776251111511606,4000.0,24 h,True,4,929.4100193470994,18.473143616698877,6.096575596513713,26.612112437083216,71.63245356793743,400.0,64,,24.826882530083417,1.9716262307339878,12.592083703837202,1.0
reference_zero_residual,d_optimal_equal,64,O3,25811.755543522944,77435.26663056883,12.728246328855386,258.11755543522946,774.3526663056883,100.0,8 h,True,4,929.4100193470994,18.473143616698877,6.096575596513713,26.612112437083216,71.63245356793743,400.0,64,,427.11864669779345,1.6547446607325869,258.11755543522946,1.0
reference_zero_residual,d_optimal_equal,64,SO2,3203.546879198718,9610.640637596154,1.1851244014212552,80.08867197996796,240.26601593990387,40.0,24 h,True,4,929.4100193470994,18.473143616698877,6.096575596513713,26.612112437083216,71.63245356793743,400.0,64,,148.0921630417046,1.8491024932807714,80.08867197996796,1.0
reference_zero_residual,d_optimal_equal,64,NO2,53638.87100759437,160916.6130227831,27.59580171999558,2145.5548403037747,6436.664520911324,25.0,24 h,True,4,929.4100193470994,18.473143616698877,6.096575596513713,26.612112437083216,71.63245356793743,400.0,64,,3848.168379655773,1.7935539597351597,2145.5548403037747,1.0
reference_zero_residual,uniform_equal,128,CO,93613.86669693993,280841.6000908198,79.12527825532823,23.403466674234984,70.21040002270496,4000.0,24 h,True,4,854.8510761080654,17.969175614960093,-68.72950513102906,23.639524314085534,60.0,400.0,128,,23.403466674234984,1.0,10.52602954707396,0.4497636907211755
reference_zero_residual,uniform_equal,128,O3,31309.451870910714,93928.35561273215,15.439260423896066,313.09451870910715,939.2835561273215,100.0,8 h,True,4,854.8510761080654,17.969175614960093,-68.72950513102906,23.639524314085534,60.0,400.0,128,,313.09451870910715,1.0,189.13393774195686,0.6040793640264244
reference_zero_residual,uniform_equal,128,SO2,4642.499067029837,13927.49720108951,1.7174522912830401,116.06247667574591,348.1874300272378,40.0,24 h,True,4,854.8510761080654,17.969175614960093,-68.72950513102906,23.639524314085534,60.0,400.0,128,,116.06247667574591,1.0,60.27228562876977,0.519308973538087
