target,recall_pct,precision_pct
H2CO,12.379999999999999,55.267857142857146
H2CO,12.16,55.27272727272727
H2CO,12.0,55.55555555555556
H2CO,11.76,55.471698113207545
H2CO,11.559999999999999,55.57692307692308
H2CO,11.360000000000001,55.68627450980392
H2CO,11.14,55.7
H2CO,10.979999999999999,56.0204081632653
H2CO,10.8,56.25
H2CO,10.54,56.06382978723404
H2CO,10.280000000000001,55.869565217391305
H2CO,10.040000000000001,55.77777777777778
H2CO,9.84,55.90909090909091
H2CO,9.62,55.93023255813954
H2CO,9.44,56.19047619047619
H2CO,9.28,56.58536585365853
H2CO,9.0,56.25
H2CO,8.780000000000001,56.282051282051285
H2CO,8.559999999999999,56.315789473684205
H2CO,8.38,56.62162162162162
H2CO,8.1,56.25
H2CO,7.88,56.285714285714285
H2CO,7.66,56.3235294117647
H2CO,7.380000000000001,55.90909090909091
H2CO,7.140000000000001,55.78125000000001
H2CO,6.94,55.96774193548387
H2CO,6.74,56.166666666666664
H2CO,6.4799999999999995,55.86206896551724
H2CO,6.279999999999999,56.07142857142857
H2CO,6.02,55.74074074074075
H2CO,5.800000000000001,55.769230769230774
H2CO,5.52,55.2
H2CO,5.28,55.00000000000001
H2CO,5.06,55.00000000000001
H2CO,4.92,55.90909090909091
H2CO,4.68,55.714285714285715
H2CO,4.4799999999999995,56.00000000000001
H2CO,4.279999999999999,56.315789473684205
H2CO,4.1000000000000005,56.94444444444444
H2CO,3.9,57.35294117647059
H2CO,3.66,57.1875
H2CO,3.42,56.99999999999999
H2CO,3.18,56.785714285714285
H2CO,2.94,56.53846153846154
H2CO,2.7,56.25
H2CO,2.44,55.45454545454545
H2CO,2.26,56.49999999999999
H2CO,2.1,58.333333333333336
H2CO,1.8800000000000001,58.75
H2CO,1.7000000000000002,60.71428571428571
H2CO,1.38,57.49999999999999
H2CO,1.2,60.0
H2CO,1.02,63.74999999999999
H2CO,0.7799999999999999,65.0
H2CO,0.45999999999999996,57.49999999999999
H2CO,0.27999999999999997,70.0
H2CO,0.0,100.0
CH3OH,100.0,50.0
CH3OH,99.8,50.0
CH3OH,99.68,50.040160642570285
CH3OH,99.44,50.02012072434607
CH3OH,99.26,50.030241935483865
CH3OH,99.1,50.050505050505045
CH3OH,98.98,50.0910931174089
CH3OH,98.8,50.10141987829615
CH3OH,98.56,50.081300813008134
CH3OH,98.4,50.101832993890014
CH3OH,98.14,50.07142857142857
CH3OH,97.96000000000001,50.08179959100204
CH3OH,97.78,50.0922131147541
CH3OH,97.48,50.04106776180698
CH3OH,97.32,50.061728395061735
CH3OH,97.14,50.07216494845361
CH3OH,96.88,50.04132231404959
CH3OH,96.76,50.08281573498965
CH3OH,96.58,50.093360995850624
CH3OH,96.41999999999999,50.11434511434511
CH3OH,96.17999999999999,50.09375
CH3OH,96.04,50.12526096033403
CH3OH,95.84,50.1255230125523
CH3OH,95.66,50.136268343815516
CH3OH,95.52000000000001,50.168067226890756
CH3OH,95.32000000000001,50.16842105263159
CH3OH,95.14,50.179324894514764
CH3OH,94.89999999999999,50.15856236786469
CH3OH,94.62,50.11652542372881
CH3OH,94.46,50.13800424628451
CH3OH,94.28,50.148936170212764
CH3OH,94.04,50.127931769722814
CH3OH,93.89999999999999,50.16025641025641
CH3OH,93.74,50.18201284796574
CH3OH,93.56,50.1931330472103
CH3OH,93.4,50.215053763440864
CH3OH,93.2,50.21551724137932
CH3OH,93.04,50.23758099352052
CH3OH,92.92,50.28138528138528
CH3OH,92.75999999999999,50.30368763557483
CH3OH,92.52,50.28260869565217
CH3OH,92.4,50.326797385620914
CH3OH,92.14,50.2947598253275
CH3OH,91.92,50.28446389496718
CH3OH,91.7,50.27412280701754
CH3OH,91.46,50.252747252747255
CH3OH,91.24,50.242290748898675
CH3OH,91.0,50.22075055187638
CH3OH,90.82000000000001,50.23230088495575
CH3OH,90.60000000000001,50.22172949002217
CH3OH,90.34,50.1888888888889
CH3OH,90.10000000000001,50.16703786191536
CH3OH,89.92,50.17857142857143
CH3OH,89.75999999999999,50.20134228187919
CH3OH,89.53999999999999,50.19058295964126
CH3OH,89.36,50.20224719101124
CH3OH,89.16,50.20270270270271
CH3OH,88.98,50.214446952595935
CH3OH,88.84,50.24886877828054
CH3OH,88.72,50.29478458049886
CH3OH,88.56,50.31818181818182
CH3OH,88.38000000000001,50.33029612756265
CH3OH,88.12,50.29680365296804
CH3OH,87.83999999999999,50.25171624713959
