elevation_deg,geometry,target,apparent_elevation_deg,atmospheric_path_m,total_path_m,peak_db_per_ug_m3,rms_db_per_ug_m3
15,refracted,CH4,15.06370326788953,75554.4827201126,1518016.7272152347,2.34241035859086e-10,4.169956075125703e-11
30,plane_parallel,H2CO,30.0,40000.00000000001,992778.3834972032,0.0013396611352189222,0.00024063368412375425
30,plane_parallel,CH3OH,30.0,40000.00000000001,992778.3834972032,0.0004885013165940928,0.00010098597482699947
30,plane_parallel,CH3CN,30.0,40000.00000000001,992778.3834972032,0.004778492600773789,0.0014147079324202554
30,plane_parallel,CO,30.0,40000.00000000001,992778.3834972032,1.2780601836824967e-05,1.2916631749646527e-06
30,plane_parallel,O3,30.0,40000.00000000001,992778.3834972032,3.896158784731575e-05,9.971885458759316e-06
30,plane_parallel,SO2,30.0,40000.00000000001,992778.3834972032,0.00036386864704870465,9.260313086050809e-05
30,plane_parallel,NO2,30.0,40000.00000000001,992778.3834972032,1.384315314552052e-05,3.2801445140894772e-06
30,plane_parallel,CH4,30.0,40000.00000000001,992778.3834972032,1.2204684885461853e-10,2.1721816961769524e-11
30,spherical,H2CO,29.999999999999993,39813.97696410326,992778.3834972035,0.0013384855906742495,0.00024044249524281922
30,spherical,CH3OH,29.999999999999993,39813.97696410326,992778.3834972035,0.0004880730679858662,0.00010090688498657863
30,spherical,CH3CN,29.999999999999993,39813.97696410326,992778.3834972035,0.004774402255119756,0.0014136132201151579
30,spherical,CO,29.999999999999993,39813.97696410326,992778.3834972035,1.2769387773580382e-05,1.2906091279691257e-06
30,spherical,O3,29.999999999999993,39813.97696410326,992778.3834972035,3.892987480041128e-05,9.964367315391302e-06
30,spherical,SO2,29.999999999999993,39813.97696410326,992778.3834972035,0.0003635605823048209,9.253310602390529e-05
30,spherical,NO2,29.999999999999993,39813.97696410326,992778.3834972035,1.3831693346650564e-05,3.277594641049024e-06
30,spherical,CH4,29.999999999999993,39813.97696410326,992778.3834972035,1.2196515004737687e-10,2.1708596121947466e-11
30,refracted,H2CO,30.03007281805826,39801.34633184098,992778.384577504,0.0013375148641054486,0.0002402648805893444
30,refracted,CH3OH,30.03007281805826,39801.34633184098,992778.384577504,0.00048771900175296394,0.00010083215821009388
30,refracted,CH3CN,30.03007281805826,39801.34633184098,992778.384577504,0.004770923310417318,0.0014125641295724728
30,refracted,CO,30.03007281805826,39801.34633184098,992778.384577504,1.27601326766463e-05,1.2896607208226172e-06
30,refracted,O3,30.03007281805826,39801.34633184098,992778.384577504,3.890123959898155e-05,9.956939097693708e-06
30,refracted,SO2,30.03007281805826,39801.34633184098,992778.384577504,0.0003632950877700134,9.246415726506405e-05
30,refracted,NO2,30.03007281805826,39801.34633184098,992778.384577504,1.3821551425263646e-05,3.2751642309424064e-06
30,refracted,CH4,30.03007281805826,39801.34633184098,992778.384577504,1.2187245950851354e-10,2.1691860477320242e-11
45,plane_parallel,H2CO,45.0,28284.271247461904,749108.7736298647,0.0009472834732053675,0.00017015370982580825
45,plane_parallel,CH3OH,45.0,28284.271247461904,749108.7736298647,0.00034542259358223953,7.14078676049053e-05
45,plane_parallel,CH3CN,45.0,28284.271247461904,749108.7736298647,0.003378904521856883,0.0010003495724127624
45,plane_parallel,CO,45.0,28284.271247461904,749108.7736298647,9.037250226464178e-06,9.133437900264518e-07
45,plane_parallel,O3,45.0,28284.271247461904,749108.7736298647,2.7550002972632362e-05,7.051187829104238e-06
