pilots,sigma,quantile,scenario,gas,bias_ratio,sd_ratio,rmse_ratio
300,0.001,0.5,pressure_minus_2000Pa,SO2,-1.0057755150021555,5.821543513723204,5.907787510460286
300,0.001,0.5,pressure_minus_2000Pa,NO2,-2.7181049994770135,121.37141058834513,121.40184266720517
300,0.001,0.5,height_1200m,CO,-0.05186362630096809,0.9944464557778405,0.9957979660263395
300,0.001,0.5,height_1200m,O3,-0.1161466260418308,12.500768535695805,12.501308092427093
300,0.001,0.5,height_1200m,SO2,-0.04840423881876208,5.821543513723204,5.821744742987993
300,0.001,0.5,height_1200m,NO2,-0.33110712041141754,121.37141058834513,121.37186222568162
300,0.001,0.5,combined,CO,-0.473254394432878,0.9944464557778405,1.1013144306959473
300,0.001,0.5,combined,O3,0.77828853285307,12.500768535695805,12.524972935037137
300,0.001,0.5,combined,SO2,-3.8753473565574907,5.821543513723204,6.9934745310288955
300,0.001,0.5,combined,NO2,-8.386926587472452,121.37141058834513,121.6608394093527
300,0.001,0.95,matched,CO,2.5662568371346456e-15,0.9944464557778405,0.9944464557778405
300,0.001,0.95,matched,O3,3.4465199472667245e-14,12.500768535695805,12.500768535695805
300,0.001,0.95,matched,SO2,-2.0361281346892017e-14,5.821543513723204,5.821543513723204
300,0.001,0.95,matched,NO2,2.364132160848077e-14,121.37141058834513,121.37141058834513
300,0.001,0.95,temperature_plus_5K,CO,-0.4236934134173793,0.9944464557778405,1.0809439680123938
300,0.001,0.95,temperature_plus_5K,O3,1.670593528296428,12.500768535695805,12.611902977736078
300,0.001,0.95,temperature_plus_5K,SO2,-2.979459496545358,5.821543513723204,6.539690189430002
300,0.001,0.95,temperature_plus_5K,NO2,-5.686825046733368,121.37141058834513,121.50456488262822
300,0.001,0.95,pressure_minus_2000Pa,CO,-0.017867884064005413,0.9944464557778405,0.994606964931391
300,0.001,0.95,pressure_minus_2000Pa,O3,-0.8232202741142085,12.500768535695805,12.527845209881662
300,0.001,0.95,pressure_minus_2000Pa,SO2,-0.9912692435692065,5.821543513723204,5.905335180615827
300,0.001,0.95,pressure_minus_2000Pa,NO2,-2.856651087150418,121.37141058834513,121.40502363427295
300,0.001,0.95,height_1200m,CO,-0.1843488219182842,0.9944464557778405,1.0113892631186905
300,0.001,0.95,height_1200m,O3,-0.43212270406995196,12.500768535695805,12.508235047936017
300,0.001,0.95,height_1200m,SO2,-0.38919532485209907,5.821543513723204,5.834538703535991
