model,pilots,residual_std_db,rho,gas,predicted_sd_ratio,empirical_rmse_ratio,deterministic_bias_allowance_db,independent_fit_actual_sd_ratio,pilot_time_lower_bound_s,pilot_energy_lower_bound_j
coherent,300,0.01,0.9,NO2,128.6564082385771,129.36541261407075,,129.8878613830998,0.0003,5.985786944906639e-05
coherent,3000,0.0,0.0,CO,0.31439491003030107,0.3102541508447001,0.006529929775001283,0.31439491003030107,0.003,0.0005985786944906639
coherent,3000,0.0,0.0,O3,3.951780223268416,3.9414488231924985,,3.951780223268416,0.003,0.0005985786944906639
coherent,3000,0.0,0.0,SO2,1.8403913514346566,1.8190425085649105,,1.8403913514346566,0.003,0.0005985786944906639
coherent,3000,0.0,0.0,NO2,38.36765208276119,38.552267940173856,,38.36765208276119,0.003,0.0005985786944906639
coherent,3000,0.0,0.9,CO,0.31439491003030107,0.3102541508447001,0.006529929775001283,0.31439491003030107,0.003,0.0005985786944906639
coherent,3000,0.0,0.9,O3,3.951780223268416,3.9414488231924985,,3.951780223268416,0.003,0.0005985786944906639
coherent,3000,0.0,0.9,SO2,1.8403913514346566,1.8190425085649105,,1.8403913514346566,0.003,0.0005985786944906639
coherent,3000,0.0,0.9,NO2,38.36765208276119,38.552267940173856,,38.36765208276119,0.003,0.0005985786944906639
coherent,3000,0.001,0.0,CO,0.31516053754000206,0.31101259770210293,0.006530117046672974,0.31516053754000206,0.003,0.0005985786944906639
coherent,3000,0.001,0.0,O3,3.964852645408232,3.954517487926572,,3.964852645408232,0.003,0.0005985786944906639
coherent,3000,0.001,0.0,SO2,1.8458002700750171,1.8243227361758838,,1.8458002700750171,0.003,0.0005985786944906639
coherent,3000,0.001,0.0,NO2,38.50093851852036,38.68650372533258,,38.50093851852036,0.003,0.0005985786944906639
coherent,3000,0.001,0.9,CO,0.3173045702347791,0.3131079163949471,0.0066029914072255076,0.31737863660893717,0.003,0.0005985786944906639
coherent,3000,0.001,0.9,O3,3.99726973041207,3.986971362666939,,3.997969168462169,0.003,0.0005985786944906639
coherent,3000,0.001,0.9,SO2,1.860913096030263,1.8392927469862443,,1.8613708251620242,0.003,0.0005985786944906639
coherent,3000,0.001,0.9,NO2,38.643064688091144,38.83339787392435,,38.648708393791345,0.003,0.0005985786944906639
coherent,3000,0.01,0.0,CO,0.3819462482586378,0.37714692788527476,0.0064590320660596525,0.3819462482586378,0.003,0.0005985786944906639
coherent,3000,0.01,0.0,O3,5.053715406598842,5.042613807851926,,5.053715406598842,0.003,0.0005985786944906639
coherent,3000,0.01,0.0,SO2,2.2735115010660065,2.242208431492833,,2.2735115010660065,0.003,0.0005985786944906639
coherent,3000,0.01,0.0,NO2,49.475617262779075,49.747627659354954,,49.475617262779075,0.003,0.0005985786944906639
coherent,3000,0.01,0.9,CO,0.42746379904559334,0.4207694273823824,0.006616791646787074,0.5139612828519111,0.003,0.0005985786944906639
coherent,3000,0.01,0.9,O3,6.1097143768680295,6.092231977721461,,7.148877109229226,0.003,0.0005985786944906639
coherent,3000,0.01,0.9,SO2,2.622876446314193,2.592412386879736,,3.11699793871869,0.003,0.0005985786944906639
coherent,3000,0.01,0.9,NO2,51.1827542267472,51.51386521487799,,59.347741235618116,0.003,0.0005985786944906639
coherent,30000,0.0,0.0,CO,0.09942040004595361,0.09811097701907429,0.006844654137079661,0.09942040004595361,0.03,0.005985786944906639
coherent,30000,0.0,0.0,O3,1.2496626317936006,1.2463955562277644,,1.2496626317936006,0.03,0.005985786944906639
coherent,30000,0.0,0.0,SO2,0.5819828456610733,0.5752317487733194,0.0007029283741850898,0.5819828456610733,0.03,0.005985786944906639
coherent,30000,0.0,0.0,NO2,12.132916905442903,12.191297565603852,,12.132916905442903,0.03,0.005985786944906639
coherent,30000,0.0,0.9,CO,0.09942040004595361,0.09811097701907429,0.006844654137079661,0.09942040004595361,0.03,0.005985786944906639
coherent,30000,0.0,0.9,O3,1.2496626317936006,1.2463955562277644,,1.2496626317936006,0.03,0.005985786944906639
coherent,30000,0.0,0.9,SO2,0.5819828456610733,0.5752317487733194,0.0007029283741850898,0.5819828456610733,0.03,0.005985786944906639
coherent,30000,0.0,0.9,NO2,12.132916905442903,12.191297565603852,,12.132916905442903,0.03,0.005985786944906639
coherent,30000,0.001,0.0,CO,0.10180840440456718,0.10047647549145898,0.006862583278252436,0.10180840440456718,0.03,0.005985786944906639
coherent,30000,0.001,0.0,O3,1.2902010492217553,1.2869207264693838,,1.2902010492217553,0.03,0.005985786944906639
coherent,30000,0.001,0.0,SO2,0.5986488638289015,0.5915021272870028,0.0006958239029149214,0.5986488638289015,0.03,0.005985786944906639
coherent,30000,0.001,0.0,NO2,12.545563587161741,12.606923566321768,,12.545563587161741,0.03,0.005985786944906639
coherent,30000,0.001,0.9,CO,0.1067955952766596,0.10533171701563926,0.007199749121295826,0.10834266423101634,0.03,0.005985786944906639
coherent,30000,0.001,0.9,O3,1.3729480627881043,1.3697526483621831,,1.3883406174969966,0.03,0.005985786944906639
coherent,30000,0.001,0.9,SO2,0.6343383275069786,0.6269334485313643,0.0006827164615203049,0.643848092649334,0.03,0.005985786944906639
coherent,30000,0.001,0.9,NO2,12.86564082385739,12.936541261406905,,12.988786138311372,0.03,0.005985786944906639
coherent,30000,0.01,0.0,CO,0.23385257713548657,0.23113350789283663,0.006825378147703822,0.23385257713548657,0.03,0.005985786944906639
coherent,30000,0.01,0.0,O3,3.257820386525995,3.2504313523003323,,3.257820386525995,0.03,0.005985786944906639
coherent,30000,0.01,0.0,SO2,1.308581798590508,1.2883463667826962,,1.308581798590508,0.03,0.005985786944906639
coherent,30000,0.01,0.0,NO2,32.060688458467226,32.30898550659912,,32.060688458467226,0.03,0.005985786944906639
coherent,30000,0.01,0.9,CO,0.24301129031299812,0.23951428318266502,0.007382846878694136,0.37929226188983284,0.03,0.005985786944906639
coherent,30000,0.01,0.9,O3,3.873118912929897,3.8638457940336868,,5.850585744673572,0.03,0.005985786944906639
coherent,30000,0.01,0.9,SO2,1.4782787505512545,1.461540159824774,,2.1151951316867086,0.03,0.005985786944906639
coherent,30000,0.01,0.9,NO2,29.67117962329815,29.775062834375625,,44.94109124488801,0.03,0.005985786944906639
