band,nuisance_policy,elapsed_s,residual_std_db,pilots,sensing_tones,within_ideal_pass_above_45deg,target,control,truth_ug_m3,bias_ug_m3,mae_ug_m3,rmse_ug_m3,p95_absolute_error_ug_m3,mae_pct_of_truth,rmse_pct_of_truth,within_20pct_of_truth_pct,negative_estimate_pct
multiband_reference,weather_uncertainty,1800.0,0.0,5400000,170,False,H2CO,positive,1.0,0.008223815151556993,0.7871123076085877,0.9889361752044343,1.9144302390696297,78.71123076085877,98.89361752044343,16.78,15.32
multiband_reference,weather_uncertainty,1800.0,0.0,5400000,170,False,H2CO,absent,0.0,-0.013511199127973769,0.780239304480366,0.9793478516531123,1.924180806644421,,,,50.019999999999996
multiband_reference,weather_uncertainty,1800.0,0.0,5400000,170,False,CH3OH,positive,1.0,0.04986415891829965,1.7390262899554823,2.1671420560833896,4.206435955176037,173.9026289955482,216.71420560833897,7.02,31.919999999999998
multiband_reference,weather_uncertainty,1800.0,0.0,5400000,170,False,CH3OH,absent,0.0,-0.006842421911080228,1.7143087665492778,2.137506786903006,4.17111780003068,,,,49.86
multiband_reference,weather_uncertainty,1800.0,0.0,5400000,170,False,CH3CN,positive,1.0,0.0024924564993148495,0.1713177956216714,0.21331610824217812,0.4112739716445819,17.13177956216714,21.33161082421781,64.68,0.0
multiband_reference,weather_uncertainty,1800.0,0.0,5400000,170,False,CH3CN,absent,0.0,-0.00027226763534906305,0.17038559779953227,0.2139995356849442,0.4238333584356113,,,,50.5
multiband_reference,weather_uncertainty,1800.0,0.0,5400000,170,False,PM2.5,positive,49.0,-1315569.2533125519,50460807.078583285,63271949.17522901,123765155.54562654,102981238.93588427,129126426.88822249,0.0,50.739999999999995
multiband_reference,weather_uncertainty,1800.0,0.0,5400000,170,False,PM2.5,absent,0.0,-418936.0868001604,49766050.271948986,62014547.147510804,119520524.46093681,,,,50.019999999999996
multiband_reference,weather_uncertainty,1800.0,0.0,5400000,170,False,PMcoarse,positive,41.0,1615058.946565829,61947473.903818555,77674887.49713898,151941470.54472083,151091399.7654111,189450945.11497313,0.0,49.26
multiband_reference,weather_uncertainty,1800.0,0.0,5400000,170,False,PMcoarse,absent,0.0,514199.36807461473,61094409.22647171,76131079.8317331,146729855.66615692,,,,49.980000000000004
multiband_reference,weather_uncertainty,1800.0,0.0,5400000,170,False,PM10,positive,90.0,299489.6932532794,11486666.82523527,14402939.21514764,28176314.99909421,12762963.1391503,16003265.79460849,0.0,49.26
multiband_reference,weather_uncertainty,1800.0,0.0,5400000,170,False,PM10,absent,0.0,95263.28127445423,11328359.666269846,14116533.576178513,27209331.205220055,,,,50.0
multiband_reference,weather_uncertainty,1800.0,0.001,5400000,170,False,H2CO,positive,1.0,0.048425594644939764,2.181766502945848,2.7206125156097087,5.298874940641011,218.17665029458482,272.06125156097085,5.24,35.120000000000005
multiband_reference,weather_uncertainty,1800.0,0.001,5400000,170,False,H2CO,absent,0.0,-0.049942242439809686,2.139410924628218,2.6689247688329036,5.177280582594068,,,,50.839999999999996
multiband_reference,weather_uncertainty,1800.0,0.001,5400000,170,False,CH3OH,positive,1.0,0.006354259092138159,4.878199829237057,6.1210908767384336,12.026198854988476,487.8199829237057,612.1090876738433,2.26,43.5
multiband_reference,weather_uncertainty,1800.0,0.001,5400000,170,False,CH3OH,absent,0.0,-0.10772899718958129,4.863844332897846,6.104189927577023,11.991881071642261,,,,50.260000000000005
multiband_reference,weather_uncertainty,1800.0,0.001,5400000,170,False,CH3CN,positive,1.0,0.002251718855055607,0.35678429868712014,0.44910202220764434,0.8883639601394181,35.678429868712016,44.91020222076443,35.480000000000004,1.3
multiband_reference,weather_uncertainty,1800.0,0.001,5400000,170,False,CH3CN,absent,0.0,0.0011160613811631605,0.3555105894666963,0.4480181859679333,0.8775988172820472,,,,49.94
